danish,english,ukranian
"Jamen, jeg hedder Arthur, jeg er 32. En gang, da jeg var 24 eller 23, så vidste jeg ikke helt, hvad jeg ville, eller hvad jeg skulle arbejde med, men jeg har altid haft sådan lyst til at arbejde med mennesker. Jeg skulle ikke sidde på et kontor. Det var ikke mig. Jeg skulle ud og snakke med patienter og gamle mennesker, og bare have sådan en kombination, men samtidig så gad jeg heller ikke være sygeplejerske heller. Jeg skulle have noget teknologisk, jeg skulle have noget med nogle computere at gøre med. Jeg var til åbent hus, og så så jeg den her uddannelse, og så tænkte jeg, tja, det kunne godt være mig i fremtiden. Og så prøvede jeg det, og så ved jeg ikke… kender du det, når du ligesom finder dit hul i samfundet? Det passede bare til, hvem jeg er som person, det teknologiske med scanningerne er meget spændende, men samtidigt har hver patient ligesom sin historie. Man skulle tro, det er ensartet arbejde, men hver patient er så anderledes, at det ikke er ensartet. Nogle er sure, nogle er glade, nogle er bare normale, så det er jo det, der fik mig til at tænke, okay, det er det her, jeg laver. Så er det jo ligesom alle andre typer af arbejde. Der er udfordringer ved at være radiograf, og så er der også nogle gode oplevelser.","Well, my name is Arthur,  I'm 32. Once, when I was 24 or 23, I didn't quite know what I wanted to do or what I should work with, but I've always had a desire to work with people. I couldn't sit in an office. That wasn't me. I needed to go out and talk to patients and elderly people, and just have that combination, but at the same time, I didn't want to be a nurse either. I needed something technological, something to do with computers. I went to an open house, and then I saw this program, and I thought, well, that could be me in the future. So, I tried it, and I don't know… do you know that feeling when you find your niche in society? It just fit who I am as a person, the technological aspect with the scans is very exciting, but at the same time, each patient has their own story. You would think it's monotonous work, but each patient is so different that it's not monotonous. Some are angry, some are happy, some are just normal, so that's what made me think, okay, this is what I do. Then it's just like any other kind of job. There are challenges in being a radiographer, and then there are also some good experiences.","Мене звати Артур, мені 32. Колись, коли мені було 24 або 23, я не зовсім знав, чого хочу чи з чим мені працювати, але я завжди мав бажання працювати з людьми. Я не міг сидіти в офісі. Це не про мене. Мені потрібно було виходити і спілкуватися з пацієнтами та літніми людьми, але в той же час я не хотів бути медбратом. Мені потрібно було щось технологічне, щось пов'язане з комп'ютерами. Я пішов на день відкритих дверей, побачив цю програму, і подумав:""Це міг би бути я в майбутньому"". Я спробував, і навіть не знаю... знаєте це відчуття, коли знаходиш своє місце в суспільстві? Це дуже підійшло мені по особистим якостям. Технологічний аспект зі скануваннями дуже захоплюючий, але в той же час кожен пацієнт має свою історію. Могло б здатися, що робота монотонна, але кожен пацієнт такий різний, що немає такого відчуття. Деякі злі, деякі радісні, деякі нейтральні. І я подумав, окей, ось що я роблю. Це як будь-яка інша робота. Є мінуси в роботі радіографа, але також є й плюси."
Selvfølgelig. Hvor lang tid har du været radiograf?,Of course. How long have you been a radiographer?,Звичайно. Як довго ви працюєте радіографом?
I 6 år har jeg været radiograf,I have been a radiographer for 6 years.,Я працюю радіографом 6 років.
Hvad er dit arbejdsområde?,What is your area of work?,Яка ваша сфера роботи?
"Jeg er det, der hedder MR-superbruger, så jeg arbejder primært i MR-scanneren, men jeg bliver også udlånt til andre steder, hvis der er behov for det. Man er jo uddannet i det hele, men jeg har et specialområde i MR.","I am what you call an MR-superuser, so I primarily work with the MR scanner, but I am also loaned out to other places if needed. You are trained in everything, but I have a specialization in MR.","Я оператор МРТ, тому я переважно працюю з МРТ-сканером, але мене також відряджають в інші місця, якщо це необхідно. Ви отримуєте навчання у всіх відділах, але моя спеціалізація - МРТ."
"Kan du prøve at beskrive, hvordan en typisk arbejdsdag ser ud for dig?",Can you try to describe what a typical workday looks like for you?,Опишіть ваш типовий робочий день
"Vi mødes kl. 7.30 til morgenmødet, en slags debriefing fra cheferne, og så går vi to og to hver i vores rum, som vi er sat til den dag. Det kan alm. røntgen eller MR-scanneren. Og så starter man som regel med en kop kaffe, før dagens produktion starter. Første patient er booket ind fra 7.45 og så kører det i hvert fald til kl. 15. Så tager jeg hjem og glemmer alt om det.","We meet at 7:30 AM for the morning meeting, a kind of debriefing from the managers, and then we go in pairs to our respective rooms that we are assigned to for the day. It could be the regular X-ray or the MR scanner. And then you usually start with a cup of coffee before the day's production begins. The first patient is booked from 7:45 AM and then it goes on at least until 3:00 PM. Then I go home and forget all about it.","Ми збираємося о 7:30 на ранковій нараді, своєрідному брифінгу від керівників, а потім ми йдемо парами в наші кабінети, до яких нас призначено на день. Це може бути звичайний рентген або МРТ-сканер. А потім зазвичай починаємо з чашки кави перед початком роботи. Першого пацієнта записують з 7:45, і так працюємо до 15:00. Потім я йду додому і забуваю про все на світі."
"Hvordan foregår en typisk undersøgelse, når du skal samarbejde med en patient?",How does a typical examination proceed when you have to collaborate with a patient?,"Як проходить типове обстеження, коли вам потрібно комунікувати з пацієнтом?"
"Hvis jeg er nede i MR-scanneren, så kræver det lidt mere kontakt og lidt mere kommunikation, da en MR-scanning ikke er en alm. røntgenundersøgelse. Det kan godt være lidt ”scary” og lidt ubehageligt for patienter at komme ind i sådan et rør. Det larmer og når man aldrig har været i sådan en, så ved man ikke hvad det går ud på. Så det handler om, at vi hurtigt danner kontakt med patienten og møder patienten, hvor de er. Nogle de siger, at jeg skal bare have det overstået, og nogle siger, at jeg har prøvet det før, og nogle de siger, at jeg er bange, og hvor skal jeg ligge? Ej, skal jeg helt derind? Men man møder patienten, hvor de er. Du har ikke særlig lang tid til det heller, du har måske fem minutter til at ”connecte” med patienten, så de stoler på dig, at de ved, hvad du laver. De har også en alarm bold osv.I alm. røntgen er det lidt med at du kommer ind, du stille dig, ”klik klik” (trykke på knappen), har taget billederne og ”du får svaret af lægen”. Men her skal man også kommunikere med patienten, så du får nogle ordentlige billeder, så patienten ved hvorfor du for eksempel skal have armen til at strå skråt til det her billede. ”Jamen Jens, vi skal lige komme godt ind i ledet ordentligt osv.”, så kommunikationen fylder en del, og hvis man har dårlig kommunikation, så får man dårlig undersøgelse, og så får patienten dårlig behandling, dårlig udredning, og det tager længere tid. Så det er meget vigtigt med en god kontakt og kommunikation fra starten af.","If I am in the MR scanner, it requires a bit more contact and a bit more communication, since an MR scan is not a regular X-ray examination. It can be a bit 'scary' and uncomfortable for patients to enter such a tube. It's noisy, and if you've never been in one, you don't know what it's all about. So, it's about quickly establishing contact with the patient and meeting the patient where they are. Some say they just want to get it over with, some say they have tried it before, and some say they are scared, and where should they lie? 'Oh, do I have to go all the way in there?' But you meet the patient where they are. You don't have much time for it either, you might have five minutes to 'connect' with the patient so they trust you, that they know what you are doing. They also have an alarm ball, etc. In regular X-ray, it's a bit like you come in, you stand, 'click click' (pressing the button), take the pictures and 'you get the answer from the doctor'. But here you also have to communicate with the patient, so you get some proper pictures, so the patient understands why, for example, you need their arm to be angled just so for this picture. 'Well, Jens, we need to get right into the joint properly, etc.', so communication plays a big part, and if you have poor communication, then you get a poor examination, and then the patient gets poor treatment, poor diagnosis, and it takes longer. So, it's very important to have good contact and communication from the start.","Якщо я працюю на МРТ-сканері, це вимагає трохи більше контакту та комунікації, оскільки МРТ-сканування це не звичайне рентгенівське обстеження. Це може бути трохи 'страшно' та некомфортно для пацієнтів. Апарат гучний, і якщо ви ніколи не були у такому, ви не знаєте, що на вас чекає. Тому треба швидко налагодити контакт з пацієнтом. Деякі кажуть, що вони просто хочуть це якнайшвидше закінчилось, деякі кажуть, що вони це вже пробували раніше, а деякі кажуть, що вони бояться, і не знають де їм лежати? 'Ой, а мені потрібно туди всередину?' Але ви допомагаєте пацієнту, як можете . У вас немає багато часу на це, можливо, у вас є п'ять хвилин, щоб встановити контакт з пацієнтом, щоб він довіряв вам, щоб він знав, що ви робите. У них також є сигнальний м'яч. У звичайному рентгені ви заходите, стаєте, 'клік клік' (натискання кнопки), робите знімки і вам кажуть 'ви отримуєте відповідь від лікаря'. Але тут вам також потрібно спілкуватися з пацієнтом, щоб отримати якісні знімки, щоб пацієнт розумів, чому, наприклад, вам потрібно, щоб його рука була нахилена саме так для цього зображення. 'Ну, Єнсе, нам потрібно правильно потрапити в суглоб і т.д.', тому комунікація відіграє велику роль, і якщо у вас погана комунікація, то ви отримуєте погане обстеження, а потім пацієнт отримує погане лікування, погану діагностику, і це займає більше часу. Тому дуже важливо мати хороший контакт та комунікацію з самого початку."
Hvor mange patienter møder du i løbet af en typisk arbejdsdag?,How many patients do you see during a typical workday?,Скільки пацієнтів приходить до вас протягом типового робочого дня?
