danish,english,ukranian
Havde du lavet kunstige led?,Had you had artificial joints made?,Чи робили вам штучні суглоби?
Har du opdigtede led?,Do you have contrived joints?,Чи є у вас штучні суглоби?
Har du protese i leddene?,Do you have prosthesis in your joints?,Чи є у вас імплантати в суглобах?
Har du kunstige led i dit lig?,Do you have artificial joints in your cadaver?,Чи є у вашому тілі штучні суглоби?
Har du gennemgået en kollektiv operation?,Have you undergone collective surgery?,Чи робили вам операцію на суглобах?
Har du kunstigt udskiftninger til dine led?,Do you have artificially replacements for your joints?,Чи є у вас штучні замінники суглобів?
Er dine led blevet opereret?,Has your joints been operated on?,Вам робили операції на суглобах?
Har du fået implanteret metaller i kroppen?,Have you had metals surgically implanted in your body?,Чи вам імплантували метал у тіло хірургічним шляхом?
Er du blevet opereret?,Has you ever undergone surgery?,Вам коли-небудь робили хірургічну операцію?
Har du nogen sinde gennemgået operationer?,Have you ever undergone surgeries at any point?,Вам коли-небудь робили якісь хірургічні операції?
Har du nogen sinde fået foretaget en operation?,Have you ever had a surgery procedure?,Вам коли-небудь робили хірургічне втручання?
Er du blevet opereret før?,Have you suffered an operation before?,Вам коли-небудь робили операцію?
Har du erfaring med operationer?,Do you have experience with surgeries?,У вас є досвід хірургічного втручання?
Er du blevet opereret?,Has you been under surgery?,Вам робили операцію?
Har du nogensinde modtaget kirurgisk behandling?,Have you ever received surgical processing?,Ви коли-небудь проходили хірургічне лікування?
Er du blevet opereret?,Have you been surgically functioned on?,Вам робили хірургічну операцію?
Er du blevet opereret før?,Have you underwent surgery before?,Вам вже робили хірургічну операцію?
Er du blevet opereret?,Ha you been through surgery?,Вам робили операцію?
Har du haft operationer i udlandet?,Ha you had surgeries abroad?,Вам робили хірургічні операції за кордоном?
Var du blevet opereret i udlandet?,Had you been operated on abroad?,Вам робили операцію за кордоном?
Har du haft operationer i et fremmed land?,Have you had surgeries in a foreign nations?,Вам робили операції в іншій країні?
Har du gennemgået kirurgiske indgreb i udlandet?,Had you undergone surgical procedures abroad?,Вам доводилося проходити хірургічні процедури за кордоном?
Har du haft gavn af kirurgisk behandling i udlandet?,Have you benefited surgical treatment abroad?,Ви проходили хірургічне лікування за кордоном?
Er du blevet opereret uden for dit hjemland?,Has you been operated on outside your home country?,Вас оперували за межами вашої рідної країни?
Er du blevet opereret uden for landet?,Have you had surgery outside the country?,Вам робили операції за межами вашої країни?
Havde du været igennem operationer i udlandet?,Had you been through surgeries abroad?,Вам робили хірургічні операції за кордоном?
Har du haft metalgenstande i udlandet?,Have you had metal objects inserting abroad?,Вам вживляли металеві предмети за кордоном?
Er metaller blevet indsat i dig i udlandet?,Has metals been inserted into you abroad?,Вам вживляли метал за кордоном?
Har du haft metalimplantater i udlandet?,Ha you had metal implants abroad?,Вам робили металеві імплантати за кордоном?
Har du modtaget metalindsættelse i udlandet?,Have you received metal inserting abroad?,Вам робили металеві вставки за кордоном?
Er metalgenstande blevet indsat i dit bureau i udlandet?,Have metal objects been inserted into your agency abroad?,Вам вживляли металеві предмети в тіло за кордоном?
Har du fået metalindsat i dig mens du er i udlandet?,Have you had metallic inserted into you while abroad?,Вам вставляли метал у тіло за кордоном?
Har du arbejdet som smed eller i et andet job med metalsplinter?,"Have you worked as a blacksmith, or in any other job involving metallurgical splinters?","Ви працювали ковалем або на будь-якій іншій роботі, де є ризик ушкодження металевими уламками?"
Har du samarbejdet med metal før?,Have you collaborating with metal before?,Ви працювали раніше з металом?
Har du haft arbejde i metalindustrien?,Have you had employment involving metallurgy?,"Чи мали ви роботу, пов'язану з металом?"
Har du håndteret metal i dit tidligere job?,Have you handles metal in your previous job?,Чи працювали ви з металом на вашій попередній роботі?
Nyder du at arbejde med metalhåndtering?,Do you have enjoying with work involving metal handling?,Чи маєте ви досвід роботи з металом?
Har du samarbejdet med metalsplinter?,Have you cooperation with metal splinters?,Чи працювали ви з металевими уламками?
Har du tidligere arbejdet med metalvarer?,Have you previously worked with metal commodity?,Ви раніше працювали з металевими виробами?
Har du arbejdet med metalforarbejdning?,Have you had a employment involving metal processing?,"Чи була у вас робота, пов'язана з обробкою металу?"
Har du haft arbejde i metalindustrien?,Have you had labor in the metal industry?,Чи працювали ви в металургійній промисловості?
Har du arbejdet med metalværktøj?,Has you worked with metal tools?,Чи працювали ви з металевими інструментами?
Har du samarbejde inden for metalfremstilling?,Have you collaboration in metal manufacturing?,Чи працювали ви у металургійному виробництві?
Har du haft et job med metalgenstande?,Have you had a job encompassing metal objects?,"Чи була у вас робота, пов'язана з металевими предметами?"
Har du nyder med metal-relaterede arbejde?,Do you have enjoying with metal-related work?,Чи є у вас досвід роботи з металом?
Har du tidligere samarbejdet med smedning?,Have you previously collaborated with forging?,Чи працювали ви раніше з куванням металу?
Har du håndteret metalmaterialer?,Have you handled metallic materials?,Чи мали ви справу з металевими матеріалами?
"Har du haft et job, der kræver viden om metal?",Ha you had a job requiring knowledge of metal?,"Чи була у вас робота, яка вимагала знання металу?"
Har du samarbejdet med metalprodukter før?,Have you collaboration with metal products before?,Чи працювали ви раніше з металевими виробами?
Havde du haft arbejde i metalsektoren?,Had you had employment in the metal sector?,Чи працювали ви в металургійному секторі?
Har du erfaring med metalarbejde?,Do you have experience with metal working?,У вас є досвід роботи з металом?
Har du haft et job med håndtering af mineraler?,Have you had a job involving minerals handling?,"Чи була у вас робота, пов'язана з роботою з металом?"
Har du haft arbejde kræver brug af metalværktøj?,Have you had work requires the use of metal tools?,"Чи була у вас робота, яка вимагала використання металевих інструментів?"
Har du nogensinde haft metal i øjet?,Has you ever had metal in your eye?,Вам коли-небудь потрапляв метал в око?
Har du nogensinde haft metalfragmenter i øjet?,Have you ever had metal fragments in your eye?,У вас коли-небудь були металеві уламки в оці?
