danish,english,ukranian
"Nå, mit navn er Arthur, jeg'm 32. Engang, da jeg var 24 eller 23, Jeg vidste ikke helt, hvad jeg ønskede at gøre eller hvad jeg skal arbejde med, men jeg 'har altid haft et ønske om at arbejde med folk. Jeg kunne ikke sidde på et kontor. Det var ikke mig. Jeg havde brug for at gå ud og tale med patienter og ældre mennesker, og bare have denne kombination, men på samme tid, Jeg ønskede ikke at være en sygeplejerske enten. Jeg havde brug for noget teknologisk, noget at gøre med computere. Jeg gik til et åbent hus, og så jeg så dette program, og jeg troede, ja, det kunne være mig i fremtiden. Så, jeg prøvede det, og jeg ved ikke.. du ved, at følelsen, når du finder din niche i samfundet. Det passer bare som en person. Det teknologiske aspekt med scanninger er meget.","Well , my name is Arthur , I 'm 32 . Once , when I was 24 or 23 , I did n't quite know what I wanted to do or what I should work with , but I 've always had a desire to work with people . I could n't sit in an office . That was n't me . I needed to go out and talk to patients and elderly people , and just have that combination , but at the same time , I did n't want to be a nurse either . I needed something technological , something to do with computers . I went to an open house , and then I saw this program , and I thought , well , that could be me in the future . So , I tried it , and I do n't know… do you know that feeling when you find your niche in society ? It just fit who I am as a person , the technological aspect with the scans is very exciting , but at the same time , each patient has their own story . You would think it 's monotonous work , but each patient is so different that it 's not monotonous . Some are angry , some are happy , some are just normal , so that 's what made me think , okay , this is what I do . Then it 's just like other kind of job . There are challenges in being a radiographer , and then there are also some good experiences .","Мене звати Артур, мені 32. Колись, коли мені було 24 або 23, я не зовсім знав, чого хочу чи з чим мені працювати, але я завжди мав бажання працювати з людьми. Я не міг сидіти в офісі. Це не про мене. Мені потрібно було виходити і спілкуватися з пацієнтами та літніми людьми, але в той же час я не хотів бути медбратом. Мені потрібно було щось технологічне, щось пов'язане з комп'ютерами. Я пішов на день відкритих дверей, побачив цю програму, і подумав:""Це міг би бути я в майбутньому"". Я спробував, і навіть не знаю... знаєте це відчуття, коли знаходиш своє місце в суспільстві? Це дуже підійшло мені по особистим якостям. Технологічний аспект зі скануваннями дуже захоплюючий, але в той же час кожен пацієнт має свою історію. Могло б здатися, що робота монотонна, але кожен пацієнт такий різний, що немає такого відчуття. Деякі злі, деякі радісні, деякі нейтральні. І я подумав, окей, ось що я роблю. Це як будь-яка інша робота. Є мінуси в роботі радіографа, але також є й плюси."
Hvor længe har du en røntgenfotograf?,Of course . How long have you a radiographer ?,Звичайно. Як довго ви працюєте радіографом?
Jeg har været røntgenfotograf i 6 år.,I have been radiographer for 6 years .,Я працюю радіографом 6 років.
Er dit arbejdsområde?,is your area of work ?,Яка ваша сфера роботи?
"Jeg er, hvad du kalder en MR-superbruger, så jeg primært arbejder med MR-scanneren, men jeg er også lånt ud til andre steder, hvis det er nødvendigt. Du er uddannet i alt, men jeg har specialisering i MR.","I am what you call an MR-superuser , so I primarily work with the MR scanner , but I am also loaned out to other places if needed . You are trained in everything , but I have specialization in MR .","Я оператор МРТ, тому я переважно працюю з МРТ-сканером, але мене також відряджають в інші місця, якщо це необхідно. Ви отримуєте навчання у всіх відділах, але моя спеціалізація - МРТ."
"forsøger du at beskrive, hvordan en typisk arbejdsdag ser ud for dig?",you try to describe what a typical workday looks like for you ?,Опишіть ваш типовий робочий день
"Vi mødes kl 7:30 AM for morgenmødet, en slags debriefing fra lederne, og så går vi parvis til vores respektive værelser, som vi er tildelt til for dagen. Det kunne den regelmæssige X-ray eller MR-scanner. Og så starter du normalt med en kop kaffe før dagens produktion begynder. Den første patient er booket fra 7:45 og derefter går det på mindst indtil 3:00 PM. Så går jeg hjem og glemmer alt om det.","We meet at 7:30 AM for the morning meeting , a kind of debriefing from the managers , and then we go in pairs to our respective rooms that we are assigned to for the day . It could the regular X-ray or the MR scanner . And then you usually start with a cup of coffee before the day 's production begins . The first patient is booked from 7:45 AM and then it goes on at least until 3:00 PM . Then I go home and forget all about it .","Ми збираємося о 7:30 на ранковій нараді, своєрідному брифінгу від керівників, а потім ми йдемо парами в наші кабінети, до яких нас призначено на день. Це може бути звичайний рентген або МРТ-сканер. А потім зазвичай починаємо з чашки кави перед початком роботи. Першого пацієнта записують з 7:45, і так працюємо до 15:00. Потім я йду додому і забуваю про все на світі."
"Hvordan går det med en typisk undersøgelse, når man skal samarbejde med patienten?",How does typical examination proceed when you have to collaborate with patient ?,"Як проходить типове обстеження, коли вам потрібно комунікувати з пацієнтом?"
"Hvis jeg er i MR scanner, det kræver en smule mere kontakt og en smule mere kommunikation, da en MR-scanning er ikke en regelmæssig røntgen undersøgelse. Det kan være en smule'scarary' og ubehageligt for patienter at indtaste en sådan kontakt og en smule mere kommunikation, da en MR-scanning er ikke en regelmæssig X-ray undersøgelse. Det kan være en smule'scarary' og ubehageligt for patienter at indtaste sådan et rør. Det's støjende. Det's støjende, og hvis du 'har aldrig været i én, du ikke ved, hvad det's hele omkring. Så, det's om hurtigt etablere kontakt med patienten og møde patienten, hvor de er. Nogle siger, at de bare ønsker at få det overstået, nogle siger de har prøvet det før, og nogle siger, at de er bange, og nogle siger de er bange, og du har måske fem minutter til 'forbindelse med patienten så de har tillid til dig, at de ved. de ved hvad du også. De har også en alarm bold...................................................... I møder patienten,....................................,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","If I am in the MR scanner , it requires a bit more contact and a bit more communication , since an MR scan is not a regular X-ray examination . It can be a bit 'scary ' and uncomfortable for patients to enter such a tube . It 's noisy , and if you 've never been in one , you do n't know what it 's all about . So , it 's about quickly establishing contact with the patient and meeting the patient where they are . Some say they just want to get it over with , some say they have tried it before , and some say they are scared , and where should they lie ? 'Oh , do I have to go all the way in there ? ' But you meet the patient where they are . You do n't have much time for it either , you might have five minutes to 'connect ' with the patient so they trust you , that they know what you are doing . They also have an alarm ball , etc . In regular X-ray , it 's a bit like you come in , you stand , 'click click ' ( pressing the button ) , take the pictures and 'you get the answer from the doctor ' . But here you also have to communicate with the patient , so you get some proper pictures , so the patient understands , for example , you need their arm to be angled just so for this picture . 'Well , Jens , we need to get right into the joint properly , etc . ' , so communication plays a big part , and if you have poor communication , then you get a poor examination , and then the patient gets poor treatment , poor diagnosis , and it takes longer . So , it 's very important to have good contact and communication from the start .","Якщо я працюю на МРТ-сканері, це вимагає трохи більше контакту та комунікації, оскільки МРТ-сканування це не звичайне рентгенівське обстеження. Це може бути трохи 'страшно' та некомфортно для пацієнтів. Апарат гучний, і якщо ви ніколи не були у такому, ви не знаєте, що на вас чекає. Тому треба швидко налагодити контакт з пацієнтом. Деякі кажуть, що вони просто хочуть це якнайшвидше закінчилось, деякі кажуть, що вони це вже пробували раніше, а деякі кажуть, що вони бояться, і не знають де їм лежати? 'Ой, а мені потрібно туди всередину?' Але ви допомагаєте пацієнту, як можете . У вас немає багато часу на це, можливо, у вас є п'ять хвилин, щоб встановити контакт з пацієнтом, щоб він довіряв вам, щоб він знав, що ви робите. У них також є сигнальний м'яч. У звичайному рентгені ви заходите, стаєте, 'клік клік' (натискання кнопки), робите знімки і вам кажуть 'ви отримуєте відповідь від лікаря'. Але тут вам також потрібно спілкуватися з пацієнтом, щоб отримати якісні знімки, щоб пацієнт розумів, чому, наприклад, вам потрібно, щоб його рука була нахилена саме так для цього зображення. 'Ну, Єнсе, нам потрібно правильно потрапити в суглоб і т.д.', тому комунікація відіграє велику роль, і якщо у вас погана комунікація, то ви отримуєте погане обстеження, а потім пацієнт отримує погане лікування, погану діагностику, і це займає більше часу. Тому дуже важливо мати хороший контакт та комунікацію з самого початку."
Hvor mange patienter ser du under typisk arbejdsdag?,How many patients do you see during typical workday ?,Скільки пацієнтів приходить до вас протягом типового робочого дня?
