danish,english,ukrainian
Har kunstige led lavet?,Have had artificial joints made ?,Чи робили вам штучні суглоби?
Har I kunstige led?,Do you artificial joints ?,Чи є у вас штучні суглоби?
Har du implantater i leddene?,you have implants in your joints ?,Чи є у вас імплантати в суглобах?
Har du kunstige led din krop?,Do you have artificial joints your body ?,Чи є у вашому тілі штучні суглоби?
Er du blevet opereret sammen?,you undergone joint surgery ?,Чи робили вам операцію на суглобах?
Har du kunstige udskiftninger dine led?,Do you have artificial replacements your joints ?,Чи є у вас штучні замінники суглобів?
Er dine led blevet opereret?,Have your joints been operated ?,Вам робили операції на суглобах?
Har du fået implanteret din krop?,Have you had metal surgically implanted your body ?,Чи вам імплантували метал у тіло хірургічним шляхом?
Har du nogensinde gennemgået en operation?,you ever undergone surgery ?,Вам коли-небудь робили хірургічну операцію?
Har du nogensinde været opereret?,you ever undergone surgery at any point ?,Вам коли-небудь робили якісь хірургічні операції?
Har du nogen sinde fået foretaget en operation?,Have you ever had surgical procedure ?,Вам коли-небудь робили хірургічне втручання?
Har du gennemgået en operation?,Have you undergone an operation ?,Вам коли-небудь робили операцію?
Har du erfaring med kirurgi?,Do you experience with surgery ?,У вас є досвід хірургічного втручання?
Er du blevet opereret?,Have been under surgery ?,Вам робили операцію?
Har du nogensinde fået kirurgisk behandling?,Have ever received surgical treatment ?,Ви коли-небудь проходили хірургічне лікування?
Er du blevet opereret?,you been surgically operated on ?,Вам робили хірургічну операцію?
Er du blevet opereret?,Have you undergone surgery ?,Вам вже робили хірургічну операцію?
Har du været under operation?,Have been through surgery ?,Вам робили операцію?
Du havde operationer i udlandet?,you had surgeries abroad ?,Вам робили хірургічні операції за кордоном?
Er der blevet opereret i udlandet?,Have been operated on abroad ?,Вам робили операцію за кордоном?
Har du haft operationer i udlandet?,Have you had surgeries in foreign country ?,Вам робили операції в іншій країні?
har du gennemgået kirurgiske indgreb i udlandet?,you undergone surgical procedures abroad ?,Вам доводилося проходити хірургічні процедури за кордоном?
Har du fået kirurgisk behandling i udlandet?,Have received surgical treatment abroad ?,Ви проходили хірургічне лікування за кордоном?
Har du opereret uden for dit hjemland?,Have you operated on outside your home country ?,Вас оперували за межами вашої рідної країни?
Har du operationer uden for landet?,Have you surgeries outside the country ?,Вам робили операції за межами вашої країни?
Er du blevet opereret i udlandet?,Have you been surgeries abroad ?,Вам робили хірургічні операції за кордоном?
Du havde metalgenstande indsat i udlandet?,you had metal objects inserted abroad ?,Вам вживляли металеві предмети за кордоном?
Har metal indsat i dig i udlandet?,Has metal inserted into you abroad ?,Вам вживляли метал за кордоном?
Havde du metalimplantater i udlandet?,you had metal implants abroad ?,Вам робили металеві імплантати за кордоном?
Har du fået metalindføring i udlandet?,Have received metal insertion abroad ?,Вам робили металеві вставки за кордоном?
Har metalgenstande indsat i din krop i udlandet?,Have metal objects inserted into your body abroad ?,Вам вживляли металеві предмети в тіло за кордоном?
Er der kommet metal ind i udlandet?,Have had metal inserted into while abroad ?,Вам вставляли метал у тіло за кордоном?
Har du arbejdet som smed eller i et andet job med metalsplinter?,"Have you worked as blacksmith , or in any other job involving metal splinters ?","Ви працювали ковалем або на будь-якій іншій роботі, де є ризик ушкодження металевими уламками?"
Har du arbejdet med metal før?,you worked with metal before ?,Ви працювали раніше з металом?
Havde du et job med metal?,you had employment involving metal ?,"Чи мали ви роботу, пов'язану з металом?"
