danish,english,ukranian
Har du kunstige led?,Do you have artificial joints?,Чи є у вас штучні суглоби?
Har du implantater i dine led?,Do you have implants in your joints?,Чи маєте ви імплантати у ваших суглобах?
Har du kunstige led i din krop?,Do you have artificial joints in your body?,Чи є у вас штучні суглоби в тілі?
Har du fået lavet led kirurgi?,Have you undergone joint surgery?,Чи проходили ви операцію на суглобах?
Har du kunstige erstatninger for dine led?,Do you have artificial replacements for your joints?,Чи є у вас штучні замінники для суглобів?
Har du fået opereret dine led?,Have your joints been operated on?,Чи були ваші суглоби операційно втручані?
Har du fået metal indopereret i din krop?,Have you had metal surgically implanted in your body?,Чи маєте ви металеві імплантати втручно введені в тіло?
Er du nogensinde blevet opereret?,Have you ever undergone surgery?,Чи коли-небудь ви піддавалися хірургічному втручанню?
Er du blevet opereret på noget tidspunkt?,Have you ever undergone surgery at any point?,Чи коли-небудь ви проходили хірургічне втручання в будь-який момент?
Har du nogensinde haft en kirurgisk indgreb?,Have you ever had a surgical procedure?,Чи коли-небудь ви мали хірургічну процедуру?
Er du blevet gennemført en operation før?,Have you undergone an operation before?,Чи проходили ви операцію раніше?
Har du erfaring med kirurgi?,Do you have experience with surgery?,Чи маєте ви досвід роботи з хірургією?
Har du været under operation?,Have you been under surgery?,Чи коли-небудь ви переносили хірургічний втручання?
Har du nogensinde modtaget kirurgisk behandling?,Have you ever received surgical treatment?,Чи коли-небудь ви отримували хірургічне лікування?
Er du blevet opereret kirurgisk?,Have you been surgically operated on?,Чи вам коли-небудь робили хірургічне втручання?
Har du gennemgået en operation tidligere?,Have you undergone surgery before?,Чи коли-небудь ви переносили операцію?
Har du været igennem kirurgi?,Have you been through surgery?,Чи коли-небудь ви переносили хірургічні втручання за кордоном?
Har du haft operationer i udlandet?,Have you had surgeries abroad?,Чи вам коли-небудь робили операції за кордоном?
Er du blevet opereret udenlands?,Have you been operated on abroad?,Чи коли-небудь вам робили операції в іноземній країні?
Har du fået foretaget operationer i et fremmed land?,Have you had surgeries in a foreign country?,Чи коли-небудь ви проходили хірургічні процедури за кордоном?
Har du gennemgået kirurgiske indgreb i udlandet?,Have you undergone surgical procedures abroad?,Чи вам коли-небудь надавали хірургічне лікування за кордоном?
Har du modtaget kirurgisk behandling i udlandet?,Have you received surgical treatment abroad?,Чи коли-небудь вас операційно втручали за межами вашої батьківщини?
Er du blevet opereret uden for dit hjemland?,Have you been operated on outside your home country?,Чи вам коли-небудь робили операції за межами країни?
Har du fået foretaget operationer uden for landet?,Have you had surgeries outside the country?,Чи коли-небудь ви проходили операції за межами країни?
Har du været igennem operationer i udlandet?,Have you been through surgeries abroad?,Чи коли-небудь ви переносили хірургічні втручання за кордоном?
Har du fået indsat metalgenstande i udlandet?,Have you had metal objects inserted abroad?,Чи вам коли-небудь робили введення металу за кордоном?
