danish,english,ukranian
Har du fået lavet kunstige led?,Have you had artificial joints made?,Чи робили вам штучні суглоби?
Har du kunstige led?,Do you have artificial joints?,Чи є у вас штучні суглоби?
Har du implantater i dine led?,Do you have implants in your joints?,Чи є у вас імплантати в суглобах?
Har du kunstige led i din krop?,Do you have artificial joints in your body?,Чи є у вашому тілі штучні суглоби?
Har du fået lavet led kirurgi?,Have you undergone joint surgery?,Чи робили вам операцію на суглобах?
Har du kunstige erstatninger for dine led?,Do you have artificial replacements for your joints?,Чи є у вас штучні замінники суглобів?
Har du fået opereret dine led?,Have your joints been operated on?,Вам робили операції на суглобах?
Har du fået metal indopereret i din krop?,Have you had metal surgically implanted in your body?,Чи вам імплантували метал у тіло хірургічним шляхом?
Er du nogensinde blevet opereret?,Have you ever undergone surgery?,Вам коли-небудь робили хірургічну операцію?
Er du blevet opereret på noget tidspunkt?,Have you ever undergone surgery at any point?,Вам коли-небудь робили якісь хірургічні операції?
Har du nogensinde haft en kirurgisk indgreb?,Have you ever had a surgical procedure?,Вам коли-небудь робили хірургічне втручання?
Er du blevet gennemført en operation før?,Have you undergone an operation before?,Вам коли-небудь робили операцію?
Har du erfaring med kirurgi?,Do you have experience with surgery?,У вас є досвід хірургічного втручання?
Har du været under operation?,Have you been under surgery?,Вам робили операцію?
Har du nogensinde modtaget kirurgisk behandling?,Have you ever received surgical treatment?,Ви коли-небудь проходили хірургічне лікування?
Er du blevet opereret kirurgisk?,Have you been surgically operated on?,Вам робили хірургічну операцію?
Har du gennemgået en operation tidligere?,Have you undergone surgery before?,Вам вже робили хірургічну операцію?
Har du været igennem kirurgi?,Have you been through surgery?,Вам робили операцію?
Har du haft operationer i udlandet?,Have you had surgeries abroad?,Вам робили хірургічні операції за кордоном?
Er du blevet opereret udenlands?,Have you been operated on abroad?,Вам робили операцію за кордоном?
Har du fået foretaget operationer i et fremmed land?,Have you had surgeries in a foreign country?,Вам робили операції в іншій країні?
Har du gennemgået kirurgiske indgreb i udlandet?,Have you undergone surgical procedures abroad?,Вам доводилося проходити хірургічні процедури за кордоном?
Har du modtaget kirurgisk behandling i udlandet?,Have you received surgical treatment abroad?,Ви проходили хірургічне лікування за кордоном?
Er du blevet opereret uden for dit hjemland?,Have you been operated on outside your home country?,Вас оперували за межами вашої рідної країни?
Har du fået foretaget operationer uden for landet?,Have you had surgeries outside the country?,Вам робили операції за межами вашої країни?
Har du været igennem operationer i udlandet?,Have you been through surgeries abroad?,Вам робили хірургічні операції за кордоном?
Har du fået indsat metalgenstande i udlandet?,Have you had metal objects inserted abroad?,Вам вживляли металеві предмети за кордоном?
Er der blevet sat metal ind dig i udlandet?,Has metal been inserted into you abroad?,Вам вживляли метал за кордоном?
Har du fået metalimplantater i udlandet?,Have you had metal implants abroad?,Вам робили металеві імплантати за кордоном?
Har du modtaget metalindsættelse i udlandet?,Have you received metal insertion abroad?,Вам робили металеві вставки за кордоном?
Er der blevet indsat metalgenstande i din krop i udlandet?,Have metal objects been inserted into your body abroad?,Вам вживляли металеві предмети в тіло за кордоном?
Har du fået metal sat ind i dig mens du var i udlandet?,Have you had metal inserted into you while abroad?,Вам вставляли метал у тіло за кордоном?
"Har du arbejdet som smed, eller andet arbejdet der involverer metalsplinter?","Have you worked as a blacksmith, or in any other job involving metal splinters?","Ви працювали ковалем або на будь-якій іншій роботі, де є ризик ушкодження металевими уламками?"
Har du arbejdet med metal før?,Have you worked with metal before?,Ви працювали раніше з металом?
"Har du haft beskæftigelse, der involverede metal?",Have you had employment involving metal?,"Чи мали ви роботу, пов'язану з металом?"
Har du håndteret metal i dit tidligere arbejde?,Have you handled metal in your previous job?,Чи працювали ви з металом на вашій попередній роботі?
"Har du erfaring med arbejde, der krævede metalhåndtering?",Do you have experience with work involving metal handling?,Чи маєте ви досвід роботи з металом?
Har du arbejdet med metalsplinter?,Have you worked with metal splinters?,Чи працювали ви з металевими уламками?
Har du tidligere arbejdet med metalprodukter?,Have you previously worked with metal products?,Ви раніше працювали з металевими виробами?
"Har du haft et job, der omfattede metalbearbejdning?",Have you had a job involving metal processing?,"Чи була у вас робота, пов'язана з обробкою металу?"
Har du haft beskæftigelse inden for metalindustrien?,Have you had employment in the metal industry?,Чи працювали ви в металургійній промисловості?
